,MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice,House_Age,Total_SFT
254,20,RL,8400,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,0.0,2,0,392,1314,GasA,3,Y,SBrkr,0,1314,1,0,1,0,3,1,3,Typ,0,Attchd,RFn,1,294,3,3,Y,250,0,0,0,6,2010,WD,Normal,145000,63,1314
255,60,RL,8738,IR1,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,302.0,4,3,PConc,4,3,0.0,0,0,975,975,GasA,5,Y,SBrkr,0,2291,0,0,2,1,4,1,4,Typ,1,BuiltIn,Fin,2,429,3,3,Y,192,0,0,0,2,2006,WD,Normal,230000,21,2291
256,60,FV,8791,IR1,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,6,5,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0.0,2,0,361,864,GasA,5,Y,SBrkr,0,1728,0,0,2,1,3,1,4,Typ,0,Attchd,RFn,2,673,3,3,Y,216,56,0,0,5,2008,WD,Normal,207500,17,1728
257,20,RL,8814,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,4,3,PConc,4,3,0.0,5,0,270,1604,GasA,5,Y,SBrkr,0,1604,1,0,2,1,3,1,4,Typ,1,Attchd,RFn,2,660,3,3,Y,123,110,0,0,3,2009,WD,Abnorml,220000,14,1604
258,60,RL,12435,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,172.0,4,3,PConc,4,3,0.0,5,0,602,963,GasA,5,Y,SBrkr,0,1792,0,0,2,1,3,1,4,Typ,1,Attchd,RFn,2,564,3,3,Y,0,96,0,0,5,2008,WD,Normal,231500,19,1792
259,20,RM,12702,Reg,Lvl,Inside,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,Gable,CompShg,BrkFace,BrkFace,None,0.0,3,3,PConc,-1,-1,,-1,-1,0,0,GasA,4,Y,FuseA,0,882,0,0,1,0,2,1,3,Typ,0,Detchd,Unf,1,308,3,3,Y,0,45,0,0,12,2008,WD,Normal,97000,64,882
260,80,RL,19296,Reg,Lvl,Corner,NAmes,Artery,Norm,1Fam,SLvl,6,5,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399.0,3,3,CBlock,3,3,3.0,2,4,0,1362,GasA,3,Y,SBrkr,0,1382,1,0,1,0,3,1,3,Typ,1,Attchd,Unf,2,884,3,3,Y,0,0,252,0,5,2009,WD,Normal,176000,58,1382
261,60,RL,9588,IR1,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,8,5,2007,Gable,CompShg,CemntBd,CmentBd,Stone,270.0,4,3,PConc,5,3,0.0,0,0,1482,1482,GasA,5,Y,SBrkr,0,2574,0,0,2,1,3,1,5,Typ,1,BuiltIn,Fin,3,868,3,3,Y,0,148,0,0,11,2007,New,Partial,276000,13,2574
262,80,RL,8471,IR1,Lvl,Corner,Sawyer,Norm,Norm,1Fam,SLvl,6,7,1977,Gable,CompShg,HdBoard,Plywood,BrkFace,46.0,3,3,CBlock,4,4,2.0,4,0,0,506,GasA,3,Y,SBrkr,0,1212,1,0,1,0,3,1,3,Typ,1,Attchd,Unf,2,492,3,3,Y,292,12,0,0,7,2006,WD,Normal,151000,43,1212
263,50,RM,5500,Reg,Lvl,Corner,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0.0,1,4,0,926,GasA,3,Y,SBrkr,390,1316,1,0,1,0,3,1,3,Typ,0,Detchd,Unf,2,484,3,3,Y,0,0,0,0,4,2010,WD,Normal,130000,91,926
264,30,RM,5232,IR3,Bnk,Inside,OldTown,Artery,Norm,1Fam,1Story,5,5,1925,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2,3,0.0,0,0,680,680,GasA,4,N,FuseP,0,764,0,0,1,0,2,1,3,Typ,0,Detchd,Unf,2,504,3,3,N,0,0,0,0,6,2008,WD,Normal,73000,95,764
265,20,RL,12090,IR1,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,6,6,1981,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,3,4,CBlock,4,3,0.0,5,1,606,1422,GasA,3,Y,SBrkr,0,1422,0,0,2,0,3,1,4,Typ,1,Attchd,Fin,2,576,3,3,Y,276,0,0,0,6,2008,WD,Normal,175500,39,1422
266,60,RL,11207,IR1,HLS,FR2,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2.0,5,0,88,802,GasA,4,Y,SBrkr,0,1511,1,0,2,1,3,1,3,Typ,1,Attchd,Fin,2,413,3,3,Y,95,75,0,0,6,2006,WD,Normal,185000,23,1511
267,75,RL,8400,Reg,Bnk,Inside,SWISU,Norm,Norm,1Fam,2.5Fin,5,8,1939,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0.0,1,0,342,720,GasA,5,Y,SBrkr,420,2192,0,0,2,1,4,1,4,Typ,1,Detchd,Unf,1,240,3,3,Y,262,24,0,0,7,2008,WD,Normal,179500,81,1772
268,30,RM,6900,Reg,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,1Story,5,6,1940,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0.0,4,2,212,740,GasA,5,Y,SBrkr,0,778,0,0,1,0,2,1,3,Typ,1,Detchd,Fin,1,924,5,5,Y,0,25,0,0,2,2008,WD,Normal,120500,80,778
269,20,RL,7917,IR1,Lvl,Corner,Edwards,Norm,Norm,1Fam,1Story,6,7,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,174.0,3,4,CBlock,3,4,0.0,3,0,392,1143,GasA,3,Y,SBrkr,0,1113,1,0,1,1,3,1,3,Typ,1,Attchd,RFn,1,504,3,4,Y,370,30,0,0,5,2007,WD,Normal,148000,44,1113
270,60,FV,10728,Reg,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1.0,0,0,1095,1095,GasA,4,Y,SBrkr,0,1939,0,0,2,1,3,1,4,Typ,1,Attchd,RFn,3,1053,3,3,Y,192,51,0,0,8,2006,New,Partial,266000,14,1939
271,20,RL,39104,IR1,Low,CulDSac,ClearCr,Norm,Norm,1Fam,1Story,7,7,1954,Flat,Membran,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,3.0,1,5,96,1385,GasA,5,Y,SBrkr,0,1363,1,0,1,0,2,1,3,Mod,2,Attchd,Unf,2,439,3,3,Y,81,0,0,0,4,2008,WD,Normal,241500,66,1363
272,60,RL,11764,IR1,Lvl,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,4,3,PConc,4,3,0.0,5,0,628,1152,GasA,5,Y,SBrkr,0,2270,0,0,2,1,4,1,4,Typ,1,Attchd,Fin,3,671,3,3,Y,132,57,0,0,4,2010,WD,Normal,290000,21,2270
273,20,RL,9600,Reg,Lvl,Inside,NAmes,Feedr,Norm,1Fam,1Story,6,6,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183.0,3,3,CBlock,3,3,0.0,2,1,0,1240,GasA,4,Y,SBrkr,0,1632,1,0,2,0,3,1,3,Min1,1,Attchd,RFn,1,338,3,3,Y,289,0,0,0,4,2009,WD,Normal,139000,62,1632
274,20,RL,8314,Reg,Lvl,Corner,Mitchel,Norm,Norm,1Fam,1Story,5,7,1982,Gable,CompShg,HdBoard,ImStucc,None,0.0,3,3,CBlock,3,3,3.0,4,0,270,816,GasA,3,Y,SBrkr,0,816,0,0,1,0,2,1,3,Typ,0,Attchd,Unf,1,264,3,3,Y,168,0,0,0,6,2007,WD,Normal,124500,38,816
275,50,RL,7264,Reg,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,7,7,1925,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,BrkTil,3,3,0.0,0,0,952,952,GasW,4,N,SBrkr,0,1548,0,0,2,1,3,1,5,Typ,0,Detchd,Unf,2,672,3,3,Y,74,0,0,144,10,2009,WD,Normal,205000,95,1548
276,20,RL,9196,IR1,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,0.0,0,0,1560,1560,GasA,5,Y,SBrkr,0,1560,0,0,2,0,3,1,4,Typ,0,Attchd,Fin,2,573,3,3,Y,100,150,0,0,4,2010,WD,Normal,201000,17,1560
277,20,RL,19138,Reg,Lvl,Corner,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0.0,1,0,744,864,GasA,5,Y,SBrkr,0,864,0,0,1,0,2,1,3,Typ,0,Detchd,Unf,2,400,3,3,Y,0,0,0,0,6,2010,WD,Normal,141000,69,864
278,20,RL,14450,Reg,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,9,5,2006,Gable,CompShg,CemntBd,CmentBd,BrkFace,315.0,5,3,PConc,5,3,3.0,0,0,2121,2121,GasA,5,Y,SBrkr,0,2121,0,0,2,1,3,1,5,Typ,1,Attchd,Fin,3,732,3,3,Y,124,98,0,142,5,2007,New,Partial,415298,14,2121
279,60,RL,10005,Reg,Lvl,Inside,ClearCr,Norm,Norm,1Fam,2Story,7,5,1977,Hip,CompShg,Plywood,Plywood,BrkFace,299.0,3,3,CBlock,4,3,0.0,3,0,768,1160,GasA,5,Y,SBrkr,0,2022,0,0,2,1,4,1,3,Typ,1,Attchd,Fin,2,505,3,3,Y,288,117,0,0,3,2008,WD,Normal,192000,43,2022
280,60,RL,11287,Reg,Lvl,Inside,SawyerW,Norm,Norm,1Fam,2Story,7,6,1989,Gable,CompShg,Plywood,Plywood,BrkFace,340.0,4,3,CBlock,4,3,2.0,5,0,386,807,GasA,4,Y,SBrkr,0,1982,0,0,2,1,3,1,4,Typ,1,Attchd,Fin,2,575,3,3,Y,0,84,0,0,1,2007,WD,Normal,228500,31,1982
281,20,FV,7200,Reg,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,6,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,68.0,4,3,PConc,4,3,0.0,5,0,357,1262,GasA,4,Y,SBrkr,0,1262,0,0,2,0,2,1,4,Typ,0,Attchd,Fin,2,572,3,3,Y,0,120,0,0,5,2006,New,Partial,185000,14,1262
282,120,RL,5063,Reg,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,1Story,7,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,166.0,4,3,PConc,4,3,0.0,5,0,410,1314,GasA,5,Y,SBrkr,0,1314,1,0,2,0,2,1,4,Typ,1,Attchd,RFn,2,626,3,3,Y,172,62,0,0,4,2009,ConLw,Normal,207500,13,1314
283,20,RL,9612,Reg,Lvl,Inside,Somerst,Feedr,Norm,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,VinylSd,Stone,72.0,4,3,PConc,4,3,0.0,0,0,1468,1468,GasA,5,Y,SBrkr,0,1468,0,0,2,0,3,1,4,Typ,1,Attchd,Fin,3,898,3,3,Y,210,150,0,0,12,2009,New,Partial,244600,12,1468
284,120,RL,8012,Reg,Lvl,Inside,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1992,Gable,CompShg,Plywood,ImStucc,None,0.0,4,3,PConc,4,3,0.0,5,0,1145,1575,GasA,4,Y,SBrkr,0,1575,1,0,2,0,2,1,4,Typ,0,Attchd,RFn,2,529,3,3,Y,0,0,52,0,7,2007,WD,Normal,179200,28,1575
285,160,FV,4251,IR1,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,0.0,0,0,625,625,GasA,5,Y,SBrkr,0,1250,0,0,2,1,2,1,4,Typ,0,Detchd,RFn,2,528,3,3,Y,0,54,0,0,6,2007,New,Partial,164700,14,1250
286,50,RL,9786,IR1,Bnk,Inside,NAmes,Norm,Norm,1Fam,1.5Fin,6,7,1962,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0.0,2,0,312,912,GasA,3,Y,SBrkr,0,1734,0,0,1,1,3,1,4,Typ,1,Attchd,RFn,2,440,3,3,Y,0,0,0,128,6,2006,WD,Normal,159000,58,1734
287,20,RL,8125,IR1,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,4,4,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0.0,3,0,244,858,GasA,3,Y,SBrkr,0,858,0,0,1,0,3,1,3,Typ,0,NoGarage,NoGarage,0,0,-1,-1,Y,0,0,0,0,6,2006,WD,Normal,88000,49,858
288,20,RL,9819,IR1,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,31.0,3,4,CBlock,3,3,0.0,3,0,432,882,GasA,3,Y,SBrkr,0,900,0,0,1,0,3,1,3,Typ,0,Detchd,Unf,1,280,3,3,Y,0,0,0,0,2,2010,WD,Normal,122000,53,900
289,70,RL,8730,Reg,Lvl,Inside,BrkSide,RRAn,Norm,1Fam,2Story,6,7,1915,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0.0,0,0,698,698,GasA,5,Y,FuseA,0,1396,0,0,1,0,3,1,3,Typ,0,Detchd,Unf,1,384,3,3,Y,0,0,0,259,7,2007,WD,Normal,153575,105,1396
290,60,RL,15611,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2.0,0,0,1079,1079,GasA,5,Y,SBrkr,0,1919,0,0,2,1,3,1,4,Typ,1,Attchd,RFn,2,685,4,3,Y,0,51,0,0,7,2006,New,Partial,233230,14,1919
291,190,RL,5687,Reg,Bnk,Inside,SWISU,Norm,Norm,2fmCon,2Story,5,6,1912,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,3,2,0.0,2,0,570,780,GasA,5,N,SBrkr,0,1716,1,0,2,0,6,1,2,Typ,0,NoGarage,NoGarage,0,0,-1,-1,N,0,184,0,0,3,2008,WD,Normal,135900,108,1716
292,50,RL,11409,Reg,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0.0,1,0,476,768,GasA,4,Y,SBrkr,0,1716,0,0,1,1,3,1,3,Min2,1,Attchd,Unf,1,281,3,3,Y,0,0,0,160,1,2009,WD,Normal,131000,71,1716
293,60,RL,16659,IR1,Lvl,Corner,NWAmes,PosA,Norm,1Fam,2Story,7,7,1977,Gable,CompShg,Plywood,Plywood,BrkFace,34.0,3,3,CBlock,3,3,0.0,4,0,0,795,GasA,2,Y,SBrkr,0,2263,1,0,2,1,3,1,4,Typ,1,Attchd,Fin,2,539,3,3,Y,0,250,0,0,3,2006,WD,Normal,235000,43,2263
294,20,RL,9600,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1953,Hip,CompShg,HdBoard,HdBoard,Stone,238.0,3,3,CBlock,3,3,0.0,5,0,131,1416,GasA,3,Y,SBrkr,0,1644,1,0,1,0,3,1,3,Typ,2,Attchd,Fin,2,418,3,3,Y,110,0,0,0,10,2009,WD,Normal,167000,67,1644
295,80,RL,7937,IR1,Lvl,CulDSac,Mitchel,Norm,Norm,1Fam,SLvl,6,6,1984,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,2.0,5,0,184,1003,GasA,3,Y,SBrkr,0,1003,1,0,1,0,3,1,3,Typ,0,Detchd,Unf,2,588,3,3,Y,120,0,0,0,3,2006,WD,Normal,142500,36,1003
296,50,RM,13710,Reg,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,5,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0.0,3,0,490,910,GasA,3,Y,FuseA,0,1558,0,0,1,1,4,1,3,Typ,0,Attchd,Unf,1,282,3,3,Y,289,0,0,0,6,2007,WD,Normal,152000,70,1558
297,60,FV,7399,IR1,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,7,5,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,1600.0,4,3,PConc,4,3,0.0,3,0,326,975,GasA,5,Y,SBrkr,0,1950,0,0,2,1,3,1,4,Typ,1,Detchd,RFn,2,576,3,3,Y,0,10,0,198,6,2007,WD,Normal,239000,23,1950
298,60,RL,11700,Reg,Lvl,Inside,NWAmes,Norm,Norm,1Fam,2Story,6,6,1968,Mansard,CompShg,HdBoard,AsphShn,BrkFace,365.0,4,3,CBlock,3,3,0.0,4,2,143,702,GasA,4,Y,SBrkr,0,1743,0,1,1,2,3,1,3,Typ,1,Attchd,Unf,2,539,3,3,Y,224,0,0,0,6,2007,WD,Normal,175000,52,1743
299,20,RL,14000,Reg,Lvl,Inside,Crawfor,Norm,Norm,1Fam,1Story,6,8,1950,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,3,3,0.0,0,0,1092,1092,GasA,5,Y,SBrkr,0,1152,0,1,1,0,3,1,4,Typ,1,Attchd,Unf,1,300,3,3,Y,0,36,0,0,8,2009,WD,Family,158500,70,1152
300,190,RL,15750,Reg,Lvl,Corner,Crawfor,Norm,Norm,2fmCon,1Story,5,5,1953,Hip,CompShg,MetalSd,MetalSd,BrkFace,56.0,3,3,CBlock,3,3,1.0,3,0,324,1165,GasA,3,Y,SBrkr,0,1336,1,0,1,0,2,1,3,Typ,2,Attchd,Unf,1,375,3,3,Y,0,0,0,0,6,2006,WD,Normal,157000,67,1336
301,60,RL,16226,IR3,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,8,5,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0.0,5,0,747,1028,GasA,5,Y,SBrkr,0,2452,0,0,2,1,4,1,4,Typ,1,BuiltIn,Fin,2,683,3,3,Y,208,50,0,0,5,2007,WD,Normal,267000,22,2452
302,20,RL,13704,IR1,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,150.0,4,3,PConc,4,3,0.0,0,0,1541,1541,GasA,5,Y,SBrkr,0,1541,0,0,2,0,3,1,4,Typ,1,Attchd,RFn,3,843,3,3,Y,468,81,0,0,1,2006,WD,Normal,205000,19,1541
303,20,RL,9800,Reg,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,0.0,4,0,0,894,GasA,3,Y,SBrkr,0,894,1,0,1,0,3,1,3,Typ,0,Attchd,Unf,2,552,3,3,Y,256,0,0,0,7,2006,WD,Abnorml,149900,48,894
304,75,RM,18386,Reg,Lvl,Inside,OldTown,Norm,Norm,1Fam,2.5Fin,7,9,1880,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,BrkTil,3,3,0.0,0,0,1470,1470,GasA,5,Y,SBrkr,0,3493,0,0,3,0,3,1,4,Typ,1,Attchd,Unf,3,870,3,3,Y,302,0,0,0,5,2008,WD,Normal,295000,140,3493
305,20,RL,10386,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,5,2004,Gable,CompShg,CemntBd,CmentBd,Stone,246.0,4,3,PConc,4,3,0.0,5,0,536,2000,GasA,5,Y,SBrkr,0,2000,1,0,2,0,3,1,4,Typ,0,Attchd,Fin,3,888,3,3,Y,168,0,0,0,7,2007,WD,Normal,305900,16,2000
306,60,RL,13474,Reg,Lvl,Inside,SawyerW,Feedr,Norm,1Fam,2Story,7,5,1990,Gable,CompShg,HdBoard,Plywood,BrkFace,246.0,4,3,CBlock,4,3,0.0,4,0,0,700,GasA,4,Y,SBrkr,0,2243,1,0,2,1,4,1,4,Typ,1,Attchd,RFn,3,746,3,3,Y,127,44,224,0,6,2007,WD,Normal,225000,30,2243
307,50,RM,7920,IR1,Lvl,Inside,IDOTRR,Artery,Norm,1Fam,1.5Fin,6,7,1920,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,2,CBlock,3,3,0.0,0,0,319,319,GasA,3,Y,FuseA,0,1406,0,0,1,0,3,1,2,Typ,0,NoGarage,NoGarage,0,0,-1,-1,N,0,144,0,0,3,2008,WD,Normal,89500,100,1406
308,30,RL,12342,IR1,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,4,5,1940,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0.0,3,0,599,861,GasA,5,Y,SBrkr,0,861,0,0,1,0,1,1,3,Typ,0,Detchd,Unf,2,539,3,3,Y,158,0,0,0,3,2009,WD,Normal,82500,80,861
309,20,RL,12378,IR1,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,3.0,5,0,622,1896,GasA,5,Y,SBrkr,0,1944,1,0,2,0,3,1,5,Typ,3,Attchd,Fin,3,708,3,3,Y,208,175,0,0,11,2006,WD,Normal,360000,17,1944
310,60,RL,7685,IR1,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,112.0,3,3,PConc,4,3,0.0,4,0,179,697,GasA,4,Y,SBrkr,0,1501,0,0,2,1,3,1,4,Typ,1,Attchd,Fin,2,420,3,3,Y,190,63,0,0,5,2006,WD,Normal,165600,27,1501
311,20,RL,8000,Reg,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,6,6,1948,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,0.0,4,0,292,972,GasA,5,Y,SBrkr,0,972,1,0,1,0,2,1,3,Typ,1,Detchd,Unf,1,240,3,3,Y,0,0,0,0,5,2009,WD,Normal,132000,72,972
312,190,RM,7800,Reg,Lvl,Inside,OldTown,Artery,Norm,2fmCon,1.5Fin,5,7,1939,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,1.0,2,0,286,793,GasA,3,Y,SBrkr,0,1118,1,0,1,0,3,1,3,Typ,1,Detchd,Unf,2,410,3,3,Y,0,0,0,271,5,2006,WD,Normal,119900,81,1118
313,20,RL,215245,IR3,Low,Inside,Timber,Norm,Norm,1Fam,1Story,7,5,1965,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,4,3,3.0,4,2,80,2136,GasW,3,Y,SBrkr,0,2036,2,0,2,0,3,1,3,Typ,2,Attchd,RFn,2,513,3,3,Y,0,0,0,0,6,2009,WD,Normal,375000,55,2036
314,70,RM,9600,Reg,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,7,7,1925,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,4,0.0,1,0,712,728,GasA,5,Y,SBrkr,0,1641,0,1,1,1,3,1,5,Typ,1,Detchd,Unf,2,546,2,3,Y,0,0,234,0,8,2006,WD,Normal,178000,95,1641
315,60,RL,7795,IR1,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0.0,5,0,291,716,GasA,5,Y,SBrkr,0,1432,1,0,2,1,3,1,4,Typ,1,Attchd,Fin,2,432,3,3,Y,100,51,0,0,7,2009,WD,Normal,188500,16,1432
316,60,RL,13005,IR1,Lvl,Corner,NWAmes,Norm,Norm,1Fam,2Story,7,7,1980,Gable,CompShg,CemntBd,CmentBd,BrkFace,278.0,4,3,CBlock,4,3,0.0,5,0,153,845,GasA,3,Y,SBrkr,0,2353,1,0,2,1,4,1,5,Typ,1,Attchd,RFn,2,484,3,3,Y,288,195,0,0,8,2009,WD,Normal,260000,40,2353
317,60,FV,9000,Reg,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2.0,0,0,1088,1088,GasA,5,Y,SBrkr,0,1959,0,0,2,1,3,1,4,Typ,1,Attchd,RFn,3,1025,3,3,Y,208,46,0,0,12,2007,WD,Normal,270000,14,1959
318,60,RL,9900,Reg,Low,Inside,NoRidge,Norm,Norm,1Fam,2Story,7,5,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,256.0,4,3,PConc,4,3,3.0,5,0,360,1347,GasA,5,Y,SBrkr,0,2646,1,0,2,1,4,1,4,Typ,1,Attchd,RFn,3,656,3,3,Y,340,60,144,0,4,2009,WD,Normal,260000,27,2646
319,80,RL,14115,Reg,Lvl,Inside,NWAmes,Norm,Norm,1Fam,SLvl,7,5,1980,Gable,CompShg,Plywood,Plywood,BrkFace,225.0,3,3,CBlock,4,3,2.0,5,0,336,1372,GasA,3,Y,SBrkr,0,1472,1,0,2,0,3,1,3,Typ,2,Attchd,Unf,2,588,3,3,Y,233,48,0,0,6,2009,WD,Normal,187500,40,1472
320,60,RL,16259,Reg,Lvl,Corner,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,370.0,3,3,PConc,5,4,2.0,0,0,1249,1249,GasA,5,Y,SBrkr,0,2596,0,0,3,1,4,1,4,Typ,0,Attchd,RFn,3,840,3,3,Y,240,154,0,0,9,2006,New,Partial,342643,14,2596
321,60,RL,12099,IR1,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,388.0,4,3,PConc,5,3,2.0,5,0,166,1136,GasA,5,Y,SBrkr,0,2468,1,0,2,1,4,1,4,Typ,1,BuiltIn,Fin,3,872,3,3,Y,184,154,0,0,6,2007,WD,Normal,354000,16,2468
322,60,RL,10380,IR1,Lvl,Inside,SawyerW,Norm,Norm,1Fam,2Story,7,5,1986,Gable,CompShg,Plywood,Plywood,BrkFace,172.0,4,3,CBlock,3,3,3.0,1,4,0,1502,GasA,5,Y,SBrkr,0,2730,1,0,2,1,4,1,4,Typ,1,Attchd,Fin,2,576,3,3,Y,201,96,0,0,8,2007,WD,Normal,301000,34,2730
